person_age,loan_rate,nominal_loan,default_before,loan_purpose
22,13.57,18000000,Y,EDUCATION
23,13.57,18000000,Y,EDUCATION
24,13.49,27000000,Y,PERSONAL
23,13.49,2400000,Y,DEBTCONSOLIDATION
25,13.49,5375000,Y,VENTURE
25,13.49,6000000,Y,DEBTCONSOLIDATION
24,13.49,17500000,Y,EDUCATION
21,13.48,4200000,Y,PERSONAL
24,13.48,20000000,Y,HOMEIMPROVEMENT
22,13.48,1000000,Y,EDUCATION
21,13.48,18000000,Y,EDUCATION
24,13.47,20000000,Y,DEBTCONSOLIDATION
25,13.47,20000000,Y,VENTURE
22,13.43,25000000,Y,EDUCATION
24,13.43,25000000,Y,PERSONAL
26,13.36,20000000,Y,HOMEIMPROVEMENT
25,13.23,18000000,Y,EDUCATION
24,13.22,25000000,Y,PERSONAL
26,13.22,19000000,Y,PERSONAL
23,13.16,20500000,Y,EDUCATION
26,13.11,20000000,Y,DEBTCONSOLIDATION
25,13.11,18000000,Y,MEDICAL
22,13.06,27500000,Y,EDUCATION
22,13.06,25000000,Y,EDUCATION
23,13.06,2275000,Y,DEBTCONSOLIDATION
25,13.06,20000000,Y,HOMEIMPROVEMENT
25,12.99,21000000,Y,EDUCATION
23,12.99,3500000,Y,PERSONAL
26,12.99,17000000,Y,HOMEIMPROVEMENT
24,12.98,18000000,Y,EDUCATION
25,12.98,17000000,Y,MEDICAL
24,12.92,25000000,Y,PERSONAL
25,12.87,3000000,Y,DEBTCONSOLIDATION
26,12.87,24250000,Y,MEDICAL
23,12.87,24250000,Y,PERSONAL
26,12.87,18500000,Y,EDUCATION
21,12.84,4000000,Y,EDUCATION
21,12.73,25000000,Y,EDUCATION
24,12.73,25000000,Y,VENTURE
25,12.73,25000000,Y,MEDICAL
23,12.73,18000000,Y,EDUCATION
23,12.68,1750000,Y,MEDICAL
24,12.68,25000000,Y,HOMEIMPROVEMENT
22,12.68,6000000,Y,MEDICAL
24,12.61,25000000,Y,HOMEIMPROVEMENT
25,12.53,20000000,Y,PERSONAL
24,12.53,18000000,Y,EDUCATION
24,12.36,20000000,Y,EDUCATION
25,12.29,750000,Y,DEBTCONSOLIDATION
24,12.29,19000000,Y,HOMEIMPROVEMENT
26,12.23,25000000,Y,PERSONAL
26,11.97,7500000,Y,PERSONAL
22,11.91,3500000,Y,VENTURE
25,11.78,20000000,Y,DEBTCONSOLIDATION
21,11.54,3175000,Y,HOMEIMPROVEMENT
23,11.54,18000000,Y,VENTURE
24,11.34,1200000,Y,VENTURE
24,11.34,8000000,Y,EDUCATION
21,11.34,6500000,Y,MEDICAL
25,11.22,20000000,Y,PERSONAL
24,11.03,18000000,Y,DEBTCONSOLIDATION
